crt.sh  Identity Search               Group by Issuer

Criteria	Type: Identity    Match: ILIKE    Search: 'illinois.edu'

Sorry, your search results have been truncated.
It is not currently possible to sort and paginate large result sets efficiently, so only a random subset is shown below.
Please retry your search with expired certificates excluded.
Certificates	
crt.sh ID	 Logged At  ⇧	Not Before	Not After	Common Name	Matching Identities	Issuer Name
2380523880	2020-01-26	2010-07-19	2011-07-23	www-sdg.cites.illinois.edu	www-sdg.cites.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380524720	2020-01-26	2010-07-21	2011-07-21	webmail.illinois.edu	autodiscover.ad.uillinois.edu
autodiscover.illinois.edu
citesum1.ad.uillinois.edu
citesum2.ad.uillinois.edu
exchws.illinois.edu
imap.illinois.edu
smtp.illinois.edu
webmail.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380521146	2020-01-26	2010-07-28	2011-08-19	www-s.cites.illinois.edu	www-s.cites.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380520848	2020-01-26	2010-07-20	2011-07-20	sds.uni.illinois.edu	sds.uni.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380520011	2020-01-26	2010-09-07	2011-07-20	mail.business.illinois.edu	mail.business.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380515994	2020-01-26	2010-09-27	2011-09-30	webmedia.education.illinois.edu	webmedia.education.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380520577	2020-01-26	2010-10-25	2011-10-25	comoto.cs.illinois.edu	comoto.cs.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380515756	2020-01-26	2010-08-16	2011-09-08	shibboleth.illinois.edu	shibboleth.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380510212	2020-01-26	2010-10-20	2011-10-24	vufind.carli.illinois.edu	vufind.carli.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380507562	2020-01-26	2010-09-29	2011-09-29	doors.lis.illinois.edu	doors.lis.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380507420	2020-01-26	2010-09-21	2011-09-21	all.extension.illinois.edu	all.extension.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380507636	2020-01-26	2010-08-09	2011-08-09	t2flex.fs.illinois.edu	t2flex.fs.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380507631	2020-01-26	2010-07-14	2011-07-14	www-app.igb.illinois.edu	www-app.igb.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380507566	2020-01-26	2010-12-27	2011-12-28	my.npre.illinois.edu	my.npre.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380506363	2020-01-26	2010-06-28	2011-07-20	sharepoint.business.illinois.edu	sharepoint.business.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380503022	2020-01-26	2010-10-06	2011-10-06	my.ise.illinois.edu	my.ise.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380503037	2020-01-26	2010-10-28	2011-10-28	dcweb.cites.illinois.edu	dcweb.cites.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380502843	2020-01-26	2010-08-31	2011-09-01	lens-api-alpha.cites.illinois.edu	lens-api-alpha.cites.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380502937	2020-01-26	2010-09-10	2011-09-10	opensource.ncsa.illinois.edu	opensource.ncsa.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380502985	2020-01-26	2010-08-16	2011-08-26	www-s2.illinois.edu	www-s2.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380500523	2020-01-26	2010-07-29	2011-08-06	www.studyabroad.illinois.edu	www.studyabroad.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380499399	2020-01-26	2010-08-05	2011-08-05	dtrinkle.matse.illinois.edu	dtrinkle.matse.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380498028	2020-01-26	2010-07-07	2011-07-16	sfx.carli.illinois.edu	sfx.carli.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380497817	2020-01-26	2010-08-03	2011-08-28	will.illinois.edu	will.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380497956	2020-01-26	2010-08-18	2011-08-21	portfolio.las.illinois.edu	portfolio.las.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380496953	2020-01-26	2010-09-07	2011-09-17	test.ideals.illinois.edu	test.ideals.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380496479	2020-01-26	2010-11-09	2011-11-11	exchangetools.ds.illinois.edu	exchangetools.ds.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380495937	2020-01-26	2010-09-10	2011-09-21	adminfinance.aces.illinois.edu	adminfinance.aces.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380495632	2020-01-26	2010-08-09	2011-08-11	courses.las.illinois.edu	courses.las.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380493457	2020-01-26	2010-08-16	2011-08-16	testing.atlas.illinois.edu	testing.atlas.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380495682	2020-01-26	2010-09-07	2011-09-11	moodle2.las.illinois.edu	moodle2.las.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380493426	2020-01-26	2010-08-27	2011-09-01	aimtrain.fs.illinois.edu	aimtrain.fs.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380492886	2020-01-26	2010-08-31	2011-09-30	etdtest.ideals.illinois.edu	etdtest.ideals.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380492594	2020-01-26	2010-10-01	2011-10-14	lens-api.cites.illinois.edu	lens-api.cites.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380492614	2020-01-26	2010-08-02	2011-08-13	www.ideals.illinois.edu	www.ideals.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380493100	2020-01-26	2010-07-29	2011-08-04	dns.cites.illinois.edu	dns.cites.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380492557	2020-01-26	2010-09-21	2011-10-27	servicestest.ideals.illinois.edu	servicestest.ideals.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380492095	2020-01-26	2010-07-28	2011-08-19	www-stage.cio.illinois.edu	www-stage.cio.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380491594	2020-01-26	2010-09-08	2011-09-21	meetingplace.aces.illinois.edu	meetingplace.aces.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380491599	2020-01-26	2010-09-21	2011-11-11	services.ideals.illinois.edu	services.ideals.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380488864	2020-01-26	2010-10-04	2011-10-08	acf-s.aces.illinois.edu	acf-s.aces.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380489021	2020-01-26	2010-09-20	2011-10-09	vetmed.illinois.edu	vetmed.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380488719	2020-01-26	2010-11-02	2011-11-02	www.kines.illinois.edu	www.kines.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380484378	2020-01-26	2010-06-30	2011-07-14	www-dns.cites.illinois.edu	www-dns.cites.illinois.edu	C=US, O="Thawte, Inc.", CN=Thawte SSL CA
2380000217	2020-01-26	2009-11-12	2011-01-11	uofibookstore.illinois.edu	uofibookstore.illinois.edu	C=US, O="VeriSign, Inc.", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)09, CN=VeriSign Class 3 Secure Server CA - G2
2378971935	2020-01-26	2010-06-15	2011-06-15	conferences.beckman.illinois.edu	conferences.beckman.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378971426	2020-01-26	2010-06-25	2011-07-10	www3.business.illinois.edu	www3.business.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378971381	2020-01-26	2010-05-21	2011-05-21	app.studyabroad.illinois.edu	app.studyabroad.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378971333	2020-01-26	2010-06-04	2011-06-04	uiaa-sql.ds.illinois.edu	uiaa-sql.ds.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378971268	2020-01-26	2010-06-14	2011-06-14	efas.aces.illinois.edu	efas.aces.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378971031	2020-01-26	2010-06-25	2011-07-09	secure.aces.illinois.edu	secure.aces.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378966991	2020-01-26	2010-04-28	2011-05-22	www.lis.illinois.edu	www.lis.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378965284	2020-01-26	2010-01-06	2011-01-09	gvserver.inhs.illinois.edu	gvserver.inhs.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378963985	2020-01-26	2009-10-27	2010-10-27	servicestest.ideals.illinois.edu	servicestest.ideals.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378963627	2020-01-26	2010-06-18	2011-07-09	emergency.webservices.illinois.edu	emergency.webservices.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378961296	2020-01-26	2010-05-19	2011-06-01	sslvpn.near.illinois.edu	sslvpn.near.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378947807	2020-01-26	2010-05-05	2011-05-05	bsbasi-2010.mechse.illinois.edu	bsbasi-2010.mechse.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378951527	2020-01-26	2010-04-27	2011-05-12	shop.isgs.illinois.edu	shop.isgs.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378947701	2020-01-26	2009-05-07	2010-05-07	moodle-pilot.atlas.illinois.edu	moodle-pilot.atlas.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378931630	2020-01-26	2009-09-09	2010-09-09	mcs-1-b.cites.illinois.edu	mcs-1-b.cites.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378930840	2020-01-26	2010-02-24	2011-02-24	adw-dev.aces.illinois.edu	adw-dev.aces.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378931178	2020-01-26	2009-10-08	2010-10-08	math.med.illinois.edu	math.med.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378929007	2020-01-26	2009-12-09	2010-12-09	gather.education.illinois.edu	gather.education.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378927966	2020-01-26	2009-09-23	2010-09-23	w3.ae.illinois.edu	w3.ae.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378926362	2020-01-26	2010-01-13	2011-01-29	idotrfc.itarp.illinois.edu	idotrfc.itarp.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378925839	2020-01-26	2009-11-17	2010-11-17	idm.cites.illinois.edu	idm.cites.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378920670	2020-01-26	2009-08-03	2010-08-03	test.webstore.illinois.edu	test.webstore.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378922986	2020-01-26	2010-05-17	2011-06-11	ctweb1.cites.illinois.edu	ctweb1.cites.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378912857	2020-01-26	2009-12-20	2010-12-19	i-share7.carli.illinois.edu	i-share7.carli.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378912956	2020-01-26	2009-07-23	2010-07-23	www-sdg.cites.illinois.edu	www-sdg.cites.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378913022	2020-01-26	2009-09-02	2010-09-02	pinnacle.cites.illinois.edu	pinnacle.cites.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378910372	2020-01-26	2010-04-26	2011-05-15	rt.aces.illinois.edu	rt.aces.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378905673	2020-01-26	2009-11-11	2010-12-04	my.illinois.edu	my.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378903636	2020-01-26	2010-03-12	2011-03-12	www.psych.illinois.edu	www.psych.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378882570	2020-01-26	2010-04-28	2011-04-28	partnercomputing.illinois.edu	partnercomputing.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378882060	2020-01-26	2010-04-19	2011-04-19	fwmgmt.cites.illinois.edu	fwmgmt.cites.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378882074	2020-01-26	2010-05-21	2011-05-21	accounts.cs.illinois.edu	accounts.cs.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378878221	2020-01-26	2010-04-08	2011-04-24	placement.cte.illinois.edu	placement.cte.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378878224	2020-01-26	2009-10-27	2010-10-26	www-s1.illinois.edu	www-s1.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378874604	2020-01-26	2010-06-01	2011-06-06	www-s2.education.illinois.edu	www-s2.education.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378874520	2020-01-26	2010-05-17	2011-06-02	www-s.dmi.illinois.edu	www-s.dmi.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378867545	2020-01-26	2010-04-28	2011-05-22	courseweb.lis.illinois.edu	courseweb.lis.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378867588	2020-01-26	2010-04-28	2011-05-22	courses.lis.illinois.edu	courses.lis.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378867191	2020-01-26	2010-04-28	2011-05-22	apps2.lis.illinois.edu	apps2.lis.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378867280	2020-01-26	2010-04-28	2011-05-22	apps.lis.illinois.edu	apps.lis.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866804	2020-01-26	2009-09-25	2010-09-25	mcs-2-b.cites.illinois.edu	mcs-2-b.cites.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866777	2020-01-26	2009-09-09	2010-09-09	meetingplace.cites.illinois.edu	meetingplace.cites.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866803	2020-01-26	2009-09-23	2010-09-26	mcs-1-b.aces.illinois.edu	mcs-1-b.aces.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866743	2020-01-26	2009-09-23	2010-09-30	mcs-2.aces.illinois.edu	mcs-2.aces.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866780	2020-01-26	2009-09-23	2010-09-26	mcs-1.aces.illinois.edu	mcs-1.aces.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866792	2020-01-26	2009-10-08	2010-10-08	med-connect.med.illinois.edu	med-connect.med.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866729	2020-01-26	2009-11-20	2010-12-04	ictest.illinois.edu	ictest.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866816	2020-01-26	2010-05-17	2011-06-05	www-s.sevis.illinois.edu	www-s.sevis.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378868005	2020-01-26	2009-12-28	2010-11-11	exchangetools.ds.illinois.edu	exchangetools.ds.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866925	2020-01-26	2009-06-24	2010-06-24	oce-dhcp.outreach.illinois.edu	oce-dhcp.outreach.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866869	2020-01-26	2010-04-06	2011-04-06	allerton.careercenter.illinois.edu	allerton.careercenter.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866698	2020-01-26	2009-09-01	2010-09-01	lens-api-alpha.cites.illinois.edu	lens-api-alpha.cites.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866841	2020-01-26	2010-01-11	2011-01-11	filemaker.admin.illinois.edu	filemaker.admin.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866718	2020-01-26	2009-10-14	2010-10-14	lens-api.cites.illinois.edu	lens-api.cites.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866771	2020-01-26	2009-09-25	2010-09-25	iccn.illinois.edu	iccn.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866758	2020-01-26	2009-09-11	2010-09-11	etd.ideals.illinois.edu	etd.ideals.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866794	2020-01-26	2009-10-27	2010-11-05	www-stage.it.illinois.edu	www-stage.it.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866783	2020-01-26	2010-03-01	2011-03-04	mail.isgs.illinois.edu	mail.isgs.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866737	2020-01-26	2009-09-17	2010-09-17	mail.ae.illinois.edu	mail.ae.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866711	2020-01-26	2009-12-01	2010-12-01	netreg.physics.illinois.edu	netreg.physics.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866724	2020-01-26	2009-07-02	2010-07-02	wireless-gateway.igb.illinois.edu	wireless-gateway.igb.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866738	2020-01-26	2010-02-24	2011-02-24	adw.aces.illinois.edu	adw.aces.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
2378866775	2020-01-26	2009-12-04	2010-12-04	shop.inrs.illinois.edu	shop.inrs.illinois.edu	C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
